fund_id,society_id,fund_key
1,1,intesa-invest-comfort-euro
2,1,intesa-invest-cash-dinar
3,1,intesa-invest-cash-euro
4,1,intesa-invest-global-balanced
5,1,intesa-invest-equity-alternative
6,1,intesa-invest-gold-silver-alternative
7,2,raiffeisen-invest-cash
8,2,raiffeisen-invest-euro-cash
9,2,raiffeisen-invest-dollar-bond
10,2,raiffeisen-invest-bond
11,2,raiffeisen-invest-green
12,2,raiffeisen-invest-world
13,2,raiffeisen-invest-alternative
14,2,raiffeisen-invest-gold-alternative
15,2,raiffeisen-invest-grawe-equity-global-1
16,2,raiffeisen-invest-grawe-equity-global-2
17,3,nlb-fondovi-novcani
18,3,nlb-fondovi-devizni
19,3,nlb-fondovi-globalni-balansirani
20,3,nlb-fondovi-globalni-akcijski
21,4,otp-invest-dynamic
22,4,otp-invest-balanced
23,4,otp-invest-cash-dinar
24,4,otp-invest-proactive
25,4,otp-invest-euro-cash
26,4,otp-invest-alternative
27,5,unicredit-invest-cash-dinar
28,5,unicredit-invest-cash-eur
29,6,wvp-fondovi-premium
30,6,wvp-fondovi-dynamic
31,6,wvp-fondovi-balanced
32,6,wvp-fondovi-cash
33,6,wvp-fondovi-merkur-esg-balanced
34,6,wvp-fondovi-merkur-esg-dynamic
35,6,wvp-fondovi-merkur-esg-solid
36,6,wvp-fondovi-bond
37,7,vista-rica-invest
38,7,vista-rica-corporate
39,7,vista-rica-cash
40,7,vista-rica-euro-cash
41,7,vista-rica-origin
42,8,eclectica-capital-rsd-cash
43,8,eclectica-capital-euro-cash
